,coment,date,weight
574,K40 pro+ hobe?,3w,
575,44000/-,4w,1 Reply
576,K40 pro er price koto?,4w,
577,Iqoo 7 lagbe,4w,
578,Iqoo7 lagbe...?,4w,
579,apnara 256 gb varient anen na kno..  256 lagto,4w,
580,Mi 11 lite ki available?,4w,
581,Dam Kobe kombe,4w,
582,do u even know what means Supper?,4w,
583,dkn 44 k,4w,
584,Latest price please,3w,
585,K40 ki available?,4w,
586,𝐅𝐢𝐫𝐬𝐭 𝐰𝐚𝐭𝐜𝐡 𝐚𝐧𝐝 𝐭𝐡𝐞𝐧 𝐛𝐮𝐲,1d,YOUTUBE.COM
587,"note 10 ,6/128 ,international global থাকলে দেন,মিরপুর থেকে নিয়ে আসবো।",6w,1 Reply
588,10 pro ki global naki indian?,6w,2 Replies
589,Poco X2 available?,6w,1 Reply
590,Home delivery te taka charge katbe,6w,1 Reply
591,India  naki International.,6w,2 Replies
592,Note 10 international hobe?,5w,1 Reply
593,Cash on delivery hobe..? Tahole note 10 pro max nibo?,6w,1 Reply
594,Exchange possible with Poco m2 pro?,6w,2 Replies
595,Note 8 koto?,6w,1 Reply
596,unofficial?,6w,2 Replies
597,আমার থেকে দাম ১০ টেকা বেশি লইছেন নোট ১০ ৬/১২৮,6w,1 Reply
598,Note 10 pro 8/128 price koto?,6w,1 Reply
599,poco m2 pro (6/64) available?,5w,
600,International kobe pawajabe?phone ki official or unofficial,5w,1 Reply
601,Note 10 global 6/128  dhaka r বাইরে possible?,6w,
602,Poco x3 ache??,6w,
603,Note 10 er china Ta Ashbe Kobe?,6w,1 Reply
604,Note 10 pro ki India or international,6w,2 Replies
605,Redmi 9 CN er dam barlo keno? Eta to 11500/- diya bikri hoto!,5w,
606,"ফালতু কথা বলেন কেন,ঢাকার ভিতরেও সব জায়গায় হোম ডেলিভারি দেন। আশুলিয়াতেই তো দেন না",5w,
607,Radmi note 10pro max 6/128 available..?,6w,
608,Poco M2 pro ta ki available,4w,
609,Redmi note 9 pro 4/64 available ase,5w,
610,Poco x3 proo 6/128 gb kih ashe nai,5w,
611,Note 10 pro er prosser konta vai..?732 নাকি ৬৭০?,5w,
612,Note 10 6/128 lagbe,5w,1 Reply
613,আনঅফিসিয়াল কিনে লাভ কি ? দু মাস পরেই তো সব বন্ধ হয়ে যাবে । তখন কি করবো মাথায় হাত দেয়া ছাড়া ।,5w,2 Replies
614,mi note 10prokoto,5w,
615,ভাই নোট ১০ ৪\৬৪ কি ১৬৫০০ রাখা যাবে?,5w,2 Replies
616,Black shark 4  ki available ase?,5w,
617,4/64 koto price?,5w,
618,Note 10 unofficial tar price koto.??,5w,
619,Redmi note 10 kon variant aita?,5w,
620,official,5w,
621,Amr kas thaka 10tk base nesa redmi note 10,5w,3 Replies
622,,4w,
623,redmi note 10 (4/64 ) unofficial price koto?,5w,
624,,5w,
625,"আমি নারায়ণগঞ্জে থাকি, কয় ঘন্টার মধ্যে পাবো?",5w,2 Replies
626,Note 10 4/64 price koto Mirpur 10 barnch e,5w,
627,,5w,2 Replies
628,ভাই নোট ১০ ৪\৬৪ কি ১৬৫০০ রাখা যাবে?,5w,
629,"mi cc9 pro 8/128, indian koto",5w,
630,Redmi 9 cn global hoba,5w,
631,Redmi 9 CN (4/64) Black 12.5k,5w,
632,Redmi Note 9 pro 6/128 Unofficial price koto.,,1 Reply
633,Poco F3 কবে পাবো?.,,1 Reply
634,,,1 Reply
635,Redmi 9 cn mane ki,,1 Reply
636,,,3 Replies
637,vaya,,1 Reply
638,Lagbena,,1 Reply
639,এতো কাম দাম ****দলাম না,,1 Reply
640,Iphone 12 pro max 128gb bd Official phone ase? Daam koto?,,1 Reply
641,xiomi Android mini tv box price please,,2 Replies
642,Md fazle,,1 Reply
643,,,2 Replies
644,"Poco m2 pro available?  R price koto, unofficial?",,1 Reply
645,Poco x3 pro 8/256 global price,,1 Reply
646,Mi quick charger and cable 3.0 hobe?,,1 Reply
647,Note 10 Pro ki international naki Indian?,,1 Reply
648,Redmi 10x er price kombe kbe? kisudin agei na 14k silo.,,1 Reply
649,Redmi note 10 pro indian na global?,,1 Reply
650,redmi note 10 international global ase ki???,,3 Replies
651,"vai, kindly taratari delivery koren ?",,6 Replies
652,readmi 10x price koto,,2 Replies
653,এটা কি হবে ভাই??,,6 Replies
654,Emi shubhida ache?,,2 Replies
655,Poxo X3 Pro er dam besi ken,,2 Replies
656,Oneplus N10 5G 6/128•••••••23500/-,,1 Reply
657,Dam koman aro vai,,1 Reply
658,7t ase vai??,,1 Reply
659,Note 9 Pro 6GB 64GB price kmn..?,,1 Reply
660,redmi note 10 4/64 এটা কি ইন্ডিয়ান নাকি ইন্টারন্যাশনাল?,,1 Reply
661,এহ এহ অনেক দাম,,1 Reply
662,6T 33k ? are you serious bhai ??,,1 Reply
663,Radmi note 10 pro 6/128 global version,,
664,poco x2 Hobe?,,4 Replies
665,Redmi m2 pro 4/64 gb ace?,,
666,over price,,
667,Pocco x2 dqo jbe?,,1 Reply
668,#please_help,,
669,Poco x3 pro er dam 30k howa drkar..,,
670,,,
671,আমার ইবালি পুদাক কই?,,
672,Note 10 6/128 ki Global?,,
673,X3 pro price koto?,,1 Reply
674,,,
675,"poco x3 pro 8/128 , 26k kbe hbe?",,2 Replies
676,redmi note 10 pro 6/128 unofficial price kotho,,1 Reply
677,কিস্তিতে নেওয়া যাবে স্যার!,5w,1 Reply
678,note 10 er dam kombe kobe akhono price onk high indian sate compare korle. 4/64 15500tk 6/128 18k hobe kokhon?,5w,1 Reply
679,Note 10 pro max টা কি আছে না কি আনবেন?,5w,1 Reply
680,আমার থেকে ২৪৫০০/-কেন নিলেন..?,5w,1 Reply
681,Vivo kon phne gula apnader kase available ase and price janaben??,5w,1 Reply
682,Asus ZenFone 8 ki er price plz?,5w,1 Reply
683,poco m2 pro available?,5w,1 Reply
684,Exchange possible hole janaben,5w,1 Reply
685,Vi mi band 6 lagbe,5w,1 Reply
686,iphone xr available?,5w,3 Replies
687,Samsung A52 ki available??,5w,1 Reply
688,Note 10 global price?,5w,1 Reply
689,Note 10 pro 6/128 which version?,5w,1 Reply
690,"Note 10 pro 6/128 22,500 ki indian???",5w,2 Replies
691,অবশ্যই প্রশংসার যোগ্য প্রাইস,5w,1 Reply
692,Vaiya redmi k40 kobe asba?,5w,1 Reply
693,vai poco m2 pro er sathe exchange kora jabe ki?,5w,1 Reply
694,Readmi k40 কি আসছে?,5w,1 Reply
695,Note 10 pro max er price koto 6/128,5w,1 Reply
696,আমার ইমারজেন্সি Redmi note 10,5w,1 Reply
697,kon color niba?,5w,4 Replies
698,eta ki international global naki indian global??,5w,2 Replies
699,Kalke asle ki offer ta paoya jabe?,5w,1 Reply
700,Note 10 6/128 color ki ki ache,5w,3 Replies
701,Note 10 ki official ?,5w,1 Reply
702,Redmi note 10 pro nithe cai,5w,2 Replies
703,Note 10 pro optimisation issue ki thik hoise?,5w,1 Reply
704,M51 6/128 price?,5w,3 Replies
705,What is the difference between redmi note 10 international global and Indian version,5w,
706,Note 10 pro max?,5w,1 Reply
707,Note 10 pro max available ?,4w,
708,Shawon vai dam komse to . Kini dessa ebar.,5w,1 Reply
709,Note 10pro version kunta,5w,1 Reply
710,Assa kaw ki bolben jodi indian global ar redmi Note 10pro nai tahola pore agular network service off hoya jaba,4w,
711,poco f3 kkn available hobe?,5w,
712,"ভাই আপনাদের পস মেশিং আছে কি? আমি ক্রেডিট কারড দিয়ে প্রেমেন্ট করবো,",5w,
713,এখনো কি আছে নাকি ইন্ডিয়া বন্ধের নাম শুইনা দাম বাড়াইয়া দিছেন?,5w,
714,রেডমি নোট-১০ ৪/৬৪---ও  ৬/১২৮ ফোল পেমেন্টে দাম কত প্লিজ।,5w,
715,Note 10 pro max 6/128 price,5w,1 Reply
716,Note 10 pro 6/128 ki indian?,5w,1 Reply
717,poco x3 pro available?,5w,1 Reply
718,"Redmi Note 10 pro 6, 128 nite cacchi,",6d,3 Replies
719,গতকাল বিকালে আপনাদের মিরপুর ১০ অফিসে গিয়ে আপনাদের সম্পর্কে আরো সম্মান বেড়ে গেল।,5d,1 Reply
720,Poco X3 pro unofficial ache Vai..??,6d,1 Reply
721,Sir note 10 pro 4/64,5d,1 Reply
722,Tik ace price. Note 10s ki 18k majhe paoya jabe viya?,5d,1 Reply
723,realme note 8er price koto unofficial ta??,6d,1 Reply
724,আমি অলরেডি এটি ব্যবহার করছি!,6d,1 Reply
725,Iqoo7 ashbe kkn vai?,6d,1 Reply
726,redmi note 10(4/64 GB) price?,6d,1 Reply
727,4/128 ki available ache,6d,1 Reply
728,,6d,2 Replies
729,Redmi note 10 pro (international global)  available?,6d,1 Reply
730,Pocp x3 pro 6/128 global version er dam koto?,6d,2 Replies
731,Note 10-4/64 Indian Price?,6d,1 Reply
732,তাহলে আগে কিনে ভালো করেছি international global রাখছিলেন 19000/=,6d,1 Reply
733,Redmi k40 gaming  edition  asbe kobe,6d,1 Reply
734,Poco f3pro dorkar  kobe pawa jabe??,6d,1 Reply
735,20k hole nibo..,6d,1 Reply
736,kity paros mbl ta valo,6d,1 Reply
737,Note10 pro max price???,3d,
738,Poco x3 pro int ase,5w,1 Reply
739,mi 11 lite 4g er price 6/64,5w,1 Reply
740,Poco m2pro ki r nai?,5w,1 Reply
741,ইমারজেন্সি প্রয়োজন না হলে ঘরেই থাকুন লাইনটা জোশ বলেছেন,5w,1 Reply
742,Poco m2 pro available or not?,5w,1 Reply
743,Note 10 pro bronze colour available ase.,5w,4 Replies
744,ভাই ইভ্যালিতে ৯ এপ্রিলের IMILAB KW66 কবে ডেলিভারি দেবেন?,5w,1 Reply
745,,5w,1 Reply
746,Note 10 pro max price,5w,1 Reply
747,Kevaba nibo?? Ame ctg ta,5w,1 Reply
748,India redmi note 10 pro er camera 64 naki 108 mp? Aktu clear bolben?,5w,2 Replies
749,mi 11 lite 6/128 price,5w,1 Reply
750,Redmi Note 10 pro (international)  ase?,5w,1 Reply
751,Poco x3 pro ki indian naki international ? R 8/128 ki available ?,5w,1 Reply
752,Note 10i available?,5w,1 Reply
753,Poco x3 pro bronze colour ta ace?,5w,1 Reply
754,SAMSUNG F62.দাম কতো??,5w,1 Reply
755,Redmi note 10 এর গ্লাস পেপার ও কাবার পাওয়া যাবে?,5w,1 Reply
756,Note 10 pro 6/64 ache?  Thakle price??,5w,1 Reply
757,10 pro 6/64 kokon pabo?,5w,1 Reply
758,note 10 pro 20 jokon hoba tokon nibo.,5w,1 Reply
759,note 10 pro max ki exchange kora jabe amar Samsung A71 er সাথে,5w,
760,Is the note 10 pro have that 108 mp rare camera?,5w,2 Replies
761,Note 10 pro international,4w,
762,২৩ তারিখের Evaly Cyclone থেকে Honor Band 6 অর্ডার দিলাম। G&G শপ থেকে অর্ডার দেয়া। কতদিন পরে হাতে পাইতে পারি? জানালে খুশি হতাম।,5w,
763,"Hello,",5w,
764,Redmi 10pro Available Ache ki?Order Korte Parbo???,5w,
765,Vai asus rakhen na keno,5w,
766,X3 koto?,4w,4 Replies
767,Poco x3 pro phantom black ta hbe apndr kase? Shop e eshe nitam..,5w,3 Replies
768,POCO X3 pro indian or global?,5w,11 Replies
769,mi 10i লাগবে।,4w,
770,Poco X3 pro ki indian variant...,5w,
771,আনঅফিসিয়াল যদি বন্ধ করে দেয় সরকার থেকে তাহলে কিনে লাভ কি ?,5w,
772,,5w,
773,Home delivery kivabe pete pari,4w,
774,,5w,
775,,5w,
776,Radmi Note 10 pro max available.....??,5w,1 Reply
777,Dam kombe kobe. note 10,5w,
778,Poco X3 Pro Price 6 128,5w,1 Reply
779,dak,4w,2 Replies
780,redmi note 10 pro max price,4w,2 Replies
781,note 10 pro 6/128 blue colour available???,4w,1 Reply
782,Note 10 pro international global ta lagbe,4w,1 Reply
783,poco x3 pro indian global or international global?,4w,1 Reply
784,Pro max price pls..?,4w,1 Reply
785,"oidin apnader shop e gelam othocho x3 pro chilona, ajke 1 diner bebodhane kmne ashlo bujhlam na",4w,1 Reply
786,Vai exchange offer ace?,4w,1 Reply
787,EMI FAcility asee ??,4w,
788,Is that all official phone?,4w,
789,Official  Note 10 pro 6/128 price plz?,4w,
790,EMI system ache?,4w,
791,Note 9 pro er ki stock sesh,4w,
792,Redmi note 9,3w,
793,Poco x3 pro kon variant???,4w,
794,500tk kore besi price,4w,
795,Dam beshi kal theke,4w,
796,Konta konta?,4w,3 Replies
797,,4w,
798,"Bujhlam na gotokal 22500, ektu age 22900 akhn 23000! Bhai manobota dekhaia koman ektu baraiyen na :')",4w,1 Reply
799,"ঢং অফ করেন আর প্রাইজ কমান ,  overpriced!!!",4w,2 Replies
800,Note 10 pro 6/128 are price ki 20k te asba nah,4w,1 Reply
801,X3 pro  ki ki colour available,4w,1 Reply
802,"আপনাদের পোস্টের লিখা গুলা ভালো লাগছে, গো এহেড",4w,1 Reply
803,ঈদের এক সপ্তাহ আগে ভালো প্রাইস দিয়েন তাই হবে,4w,1 Reply
804,মাগনা দিলে নিমু না,4w,1 Reply
805,ভাই এগুলো অফিসিয়াল না কি আনঅফিশিয়াল।,4w,1 Reply
806,Note 10 4/46 international global price plz?,4w,1 Reply
807,"Jai hok poco x3 pror dam 25000 raksen.dekhe valoi laglo, but bidhi bam amar kache ace 16k, ekhn 25k kmne kori",4w,1 Reply
808,আমার দেখা মতে GNG বেস্ট অনলাইন  শপ।,4w,1 Reply
809,Note 10 pro max kom chai aro,4w,1 Reply
810,এক্সচেঞ্জ করেন আপনারা?,4w,1 Reply
811,apnader shop e exchange offer nai ??,4w,1 Reply
812,Vai free den plz,4w,1 Reply
813,poco x3 pro er pic tule post koren,4w,1 Reply
814,X3 6/128 koto indian ta??,4w,
815,Redmi note 10- 6/128 available for today? Please let me know fast!,4w,
816,EVL816495186,4w,
817,আহারে ভাই!,4w,
818,Vai eider age ki dam kombena?,4w,
819,টাকা নাই তাই কয়দিন পরপর দেখি আইফোন ডেলিভারি দিয়ে ভিডিও সেলফি তুলতেছে। বাকি ফোনের কথা তো বাদই দিলাম। জিএনজিদের এমন দেখি নাই তবে অন্যদের প্রচুর দেখছি।বিশেষ করে গরিবের গ্যাজেট।,4w,
820,,4w,
821,N10 pro max er golden colour ta ache ki,4w,1 Reply
822,"হাসাইলেন ভাই,,,আপনার মতো আরো ১০ দোকানেই একই দাম",4w,
823,Mi 9T stock ase ki..r thakle dam koto ..janaben ..tnxx,4w,
824,Note 10 6/128 (international global) black ta available ache?,4w,
825,Note 10 pro (international global) ta hbe ki???,4w,
826,দাম মিনিটে মিনিটে বাড়ে !  মানবতা নাকি মানভোতা !,4w,
827,Poco m2 pro 4/64  ki available?  Hole price koto?,4w,1 Reply
828,Eida kono kotha.. ghontay ghontay price baraitacen,4w,
829,দাম ১০০০০ দেখতে চাই,4w,
830,Note 10 ta konta....,4w,
831,EVL124746843 ভাই এটা কবে পাবো?,4w,
832,Realme c25 .?,4w,
833,নবীনগর আসতে পারবেন?,4w,
834,"Gadget N Gadget তাদের রেপুটেশন এর ১২ টা বাজায়ে দিসে ইভ্যালীতে তাদের অতিরিক্ত বাজে ডেলিভারি বিহেভিয়ার এর কারণে। অবস্থাটা এতই গুরুতর পর্যায়ে পৌঁছেছে, যে এখন ওদের অনলাইন শপ এ অর্ডার দিতে ও কুন্ঠাবোধ হয়, যে প্রোডাক্ট সময় মত ডেলিভারি দিবে কিনা!",4w,
835,Note 10 indian Global e ki Super amoled na amoled display?,4w,
836,Note 10 Pro 6/128 eta ki international global hoi na......,4w,
837,Official ta ase?6/128,4w,
838,,4w,
839,Redmi নোট 9 প্রো প্রাইজ কত ভাইয়া,3w,1 Reply
840,manobota jeheu bujhen. dam koman,4w,1 Reply
841,Mi  11lite 5g কবে আসবে?,4w,
842,Poco X3 pro international global ta 25k te den please,4w,
843,note 9 pro 4 128 jomuna te prise koto,3w,Follow
844,,4w,
845,Redmi note 10 asee??,4w,2 Replies
846,Foco F3 price,4w,1 Reply
847,Note 10 pro Max 6/128•••••26500/-(Global),4w,1 Reply
848,Pro max আবার গ্লোবাল হইলো কেমনে?,4w,2 Replies
849,savar a delivary charge koto ??,4w,1 Reply
850,দুপুরে ফোন দিলাম Redmi 9A 4/64•••••9000/-  (Chinese) স্টক নাই। আবার এলো কোথা থেকে?,4w,2 Replies
851,Redmi note 10 pro 6/128 official global version koto price??not pro max just note 10 pro,4w,1 Reply
852,Vai one plus 8 or 8t কি ৩৫ থেকে ৪০ এর ভিতরে পাওয়া যাবে??,4w,1 Reply
853,Redmi note 9 ki official phone?,4w,1 Reply
854,Oneplus n100  6/128?,4w,2 Replies
855,কপি ক্লোন পাইলে বাঁশ,4w,1 Reply
856,"redmi note 10 tolarbage dite parben?6/128,international global,gray color",4w,1 Reply
857,ঢাকায় ডেলিভারি চার্জ কি ৩০০ না ৫০০?,4w,1 Reply
858,poco x3 prooo neye nebo naki,4w,1 Reply
859,Vai note 10 pro max name ar kono phone to Globale launched hoyni ta vai Note 10 pro max (Global) aita koi pailen???,4w,2 Replies
860,Any update of k40 ?,4w,1 Reply
861,Eita kon color.,4w,
862,Redmi note 10 pro এইখানে প্রাইস ঠিকি দিছেন ২৩০০০। অথচ Qcoom য়ে ২৪০০০ টাকা দাম দিয়া ওইটার ওপরে অফার দেওয়া। কি টেকনিক।,4w,
863,"ভাই note 10 pro এর মধ্যে কি 108 mp নাকি,?? 64mp ??",2w,
864,Pro max আবার গ্লোবাল হইলো কেমনে?,4w,
865,Realme X2 global version ki available,4w,1 Reply
866,Note 10 pro max 23000 টাকা হবে?,4w,1 Reply
867,Gazipur cantonment home delivery possible??,4w,1 Reply
868,One plus nord n10 5g ki official?,4w,1 Reply
869,,4w,1 Reply
870,Redmi note 10 pro max Indian or International,4w,3 Replies
871,9r 12/256 .50000 asle akta nimu,4w,2 Replies
872,Poco f3 ta kobe anben??,4w,1 Reply
873,Iqoo 7 series ki asbe?,4w,1 Reply
874,,4w,1 Reply
875,"দাম তো কমেনা, বরং বাড়তেই আছে",4w,6 Replies
876,Note 10 pro max er golden colour ta ki ache,4w,1 Reply
877,One plus 9R India te 40000 hoile Bangladesh a kivabe 52990 hoi?,4w,
878,Oneplus 7t ki available??,4w,1 Reply
879,Poco x3 (Non NFC),4w,
880,Home delivery hobe sir??,4w,
881,Vaiya... Oneplus nord 8/128 unofficial er price koto porbe..?,3w,
882,OnePlus 9R ar price kom hoiya gele nah,4w,
883,Vaiya apndr online cudate bole k..?,3w,
884,oneplus 8 T 48k hobe,4w,
885,Oneplus 8 glow colour available?,4w,
886,difference between indian and international ?,4w,
887,ইসলাম dekto akto....,4w,1 Reply
888,Apnra call receive koren koita theke koitar moddhe..?,3w,
889,Kno reply  nai... Kno response  nai....,3w,
890,১০ হাজারের ভিতরে কোনটা হবে?,1w,
891,poco x3 6/128 global available?,4w,
892,Vai akta gaming phone nite chai 15000/= modde kun phonta valo hobe,4w,1 Reply
893,,4w,
894,Tecno spark 7 pro কত টাকা?,4w,1 Reply
895,বিডি তে কি এই কালার এভেইলএবল?,4w,2 Replies
896,Mi 11 lite 31999 ei price ki official na unofficial??,4w,1 Reply
897,Bro,4w,2 Replies
898,Note 10 pro max 8/128,4w,1 Reply
899,৫ জি আনবেন আপনারা?,4w,2 Replies
900,ভাইয়া note 10 pro 8/128 অনলাইনে পাওয়া যাবে,4w,1 Reply
901,Note 10 pro 8/128 bronze colour ase.,4w,1 Reply
902,K40 is better thn mi 11 lite,4w,2 Replies
903,5g version nkii 4g??,4w,1 Reply
904,Thik bujlam nh vai 6/128 apni bollen je 32000 to ai khane 8/128 31000,4w,2 Replies
905,কতটা ডাকাত হলে ২৩ হাজারের ফোন ৩২ হাজার হতে পারে??,4w,2 Replies
906,Dam ektu kom hoye gelo na arektu baraten,4w,
907,Poco x3 pro international,4w,
908,mi 11 lite 31k online price r apnader ki offer bah32k,4w,
909,Ruja rakhsi vai kiso bollam na....,4w,
910,Aktu Hoga maira jan vai,4w,11 Replies
911,Price beshi mone hoitase,4w,
912,এতদিন কততে দিবো চিল্লাইয়া লাভ টা কি হইলো যদি নিজেরাই দাম টা নির্ধারণ করবেন তো?,4w,
913,5G tar dam eta hole thik chilo,4w,
914,Mi 11x/poco f3/k40 ar price koto??,4w,
915,ভাই আপনারা এখন ফেমাস হয়ে গেছেন তো এটার লাইগা যেমন-তেমন দাম বসিয়ে  দিতেছেন।,4w,
916,mi 10s?,4w,
917,mi 11 li 5g koto?,4w,
918,8/128 ar price 31k ar salara tumra 6/128 32k chudaw...batpar ar dol.,4w,
919,Matha Ki Thik Ache..??,4w,
920,Vai aita ki mi 11 lite sd780g 5g??,3w,
921,এই ফোন ৩২ দিয়ে কে নিবে K40 far far better.,4w,
922,5g na 4g?,3w,
923,,4w,
924,,4w,
925,10 pro max er Orange colour ki pabo,4w,
926,Mi 11 lite 5G kobe ashbe,4w,1 Reply
927,Redmi note 10 line up ta Global varient ashbena??? eta to maybe Indian version,4w,
928,Xiaomi note 9 pro max. 6/128.,6d,1 Reply
929,poco nfc?,1w,1 Reply
930,Official price??,1w,1 Reply
931,Note 10 int..17000 rakha jai??,1w,1 Reply
932,????,1w,1 Reply
933,Currier ki available?,1w,1 Reply
934,vaiya,6d,5 Replies
935,Pubg competitive ar jonna kamon?,1w,2 Replies
936,Note 9 pro ki international,1w,1 Reply
937,note 10 6/128 koto??,1w,1 Reply
938,"(নোট 9)=14,000/- টাকা রাখা যায়",1w,1 Reply
939,,5d,1 Reply
940,X3 6/128 er official price koto?,1w,1 Reply
941,Poco f3 official kobe asbe,1w,2 Replies
942,Poco x3 pro global price?,1w,1 Reply
943,Poco x3 unofficial price pls,1w,1 Reply
944,Redmi note 10 pro global or indian?,6d,1 Reply
945,Note 10 ki official??,1w,1 Reply
946,,1w,1 Reply
947,Replacement guarantee ase?,6d,1 Reply
948,6/128 international  variant  hobe?,1w,1 Reply
949,Note 10 6/128 global version available?,5d,1 Reply
950,Redmi note 10 international 6/128 Price?,1w,1 Reply
951,Official price??,6d,1 Reply
952,Note 10 6/128 ki global version,6d,1 Reply
953,Redmi 9 power ki official naki unofficial?,5d,1 Reply
954,Redmi note 10 indian ta white ta ache??,1w,1 Reply
955,Oneplus nord hobe??,6d,1 Reply
956,Vai realmi 8... Ta ki available ase... R official an unofficial price koto,1w,4 Replies
957,Exchange possible,1w,1 Reply
958,One Plus 8t (12/256) silver colour available?,1w,7 Replies
959,আমাকে একটা ১০ এর ভিতরে মোটামুটি ভালো একটা সাজেস্ট করুন,1w,1 Reply
960,Poco F3 Er Dam Koman Na Kn Bujhi Na,1w,1 Reply
961,one plus 7 pro intarnational hoba ki,1w,1 Reply
962,,1w,1 Reply
963,Poco f3 er price koto?,1w,1 Reply
964,Poco x2 hobe ki boss??... And dam koto 4/64 variant  and 4/128 variant,1w,1 Reply
965,ভাই ১০ হাজারের ভিতরে কোনটা হবে?,1w,1 Reply
966,Poco x3 pro 6/128 official = 28 k...,1w,1 Reply
967,note 10 pro available ?,1w,1 Reply
968,sundor ase to,1w,2 Replies
969,note 10pro ki 108mp camerar,1w,1 Reply
970,Vai poco m3 er price ta ektu bolben,1w,1 Reply
971,K30 আছে কি ভাই,1w,2 Replies
972,অনলাইন ডেলিভারীর নিওমটা বলবেন।,1w,1 Reply
973,Mi 11 lite yellow color asba ki??,1w,1 Reply
974,Redmi note 10 ki official??,1w,1 Reply
975,Mi 11 lite colour konta hobe??,1w,1 Reply
976,Sir redmi note 9 pro 6/64 price in bangladesh official koto please bolen,2d,
977,Note 10 pro indian?,1w,1 Reply
978,Plz replay note 10 pro max price,1w,2 Replies
979,baler update je phn nibo se phnr dam aki  thake. jibon da bedona,1w,
980,redmi 10x 4/128 এটার দাম কত ?,1w,
981,Redmi note 10 6/128 int dam komer sombabona aca? 1mas er modda.?,1w,1 Reply
982,6/128 ki int?,1w,1 Reply
983,Redmi note 9 pro 6/128 GB price,2h,
984,দামে কম মানে ভালো,1w,8 Replies
985,Vaiya  xiaomi Redmi  Y3 ki available apnnader kasee..???,1w,1 Reply
986,Note 10 pro max koto porbe,1w,2 Replies
987,Is Note 10 Gobal variant available,1w,1 Reply
988,Baler phone,1w,4 Replies
989,"ভাই, Redmi note 10 মোবাইলটির International global টা কি Chinese, এটাতে কি Google এর Application গুলি By default use করা  যাবে?",1w,1 Reply
990,This colour is my crush,1w,1 Reply
991,Note 10 pro 6/128 unofficial price plz,1w,3 Replies
992,Redmi Note 10 Pro (6/128) - International Global  কতো?,1w,6 Replies
993,নিয়ে নিছি।just awesome,1w,3 Replies
994,this colour is my crush,1w,8 Replies
995,দামে কম মানে ভালো,1w,10 Replies
996,Xiaomi phn exchange sesteam ace,1w,2 Replies
997,Not 10 pro.....er price,6d,1 Reply
998,ami use kortecei.but cover &glass pacci na,1w,1 Reply
999,Redmi note 10 6/128 current price?,1w,2 Replies
1000,Note pro max available?,1w,2 Replies
1001,,1w,5 Replies
1002,,6d,2 Replies
1003,Note 9 pro ta hobe ki.?,1w,3 Replies
1004,Unofficially note 10 4/64 price ekhon koto,1w,3 Replies
1005,Redmi Note 10-4/64 Indian price?,6d,1 Reply
1006,Poco F3 available??,1w,6 Replies
1007,Poco f3 black available?,6d,1 Reply
1008,note 10 4/ 128 price koto,6d,1 Reply
1009,Note 10 pro max location patiya mobile lagba,1w,2 Replies
1010,Note 10 koto,1w,1 Reply
1011,Note 9 pro 4/128 ki available thakle er price koto,1w,2 Replies
1012,সবই বললেন কিন্তু মোবাইলের জেটা মেইন প্রসেসর সেটাই বললেন না,1w,1 Reply
1013,,1w,2 Replies
1014,Note 9 pro max available?,1w,1 Reply
1015,Redmi note 10 pro official tar price kto???8/128,1w,2 Replies
1016,Xaomi note 10 lite kemon?,1w,1 Reply
1017,pro kto r pro max kto,1w,1 Reply
1018,poco x3 6/128 unofficial price plc?,1w,1 Reply
1019,Bangladesh e phone er price er cheye tax beshi.,1w,
1020,4-64 GB  int global টার price কত???,1w,1 Reply
1021,Unofficial phone ki june a bondho hosse?,1w,1 Reply
1022,Note 10 pro 108mp ache?,1w,1 Reply
1023,Redmi note 10 pro (6/128) indian er price koto?,1w,1 Reply
1024,Redmi 9A koto GB memory card support kore?,1w,1 Reply
1025,Aitar cover ki ak9 market aa ashe nai,1w,1 Reply
1026,16500 price rakhle valo hobe redmi note 10,6d,
1027,আমি গত সপ্তাহে আনঅফিসিয়াল রেডমি নোট টেন কিনেছি ৬জিবি রেম ১২৮জিবি রোম। কিন্তু যেকোনো হেটফোন লাগালো একটা কানে বাজে অপরটায় বাজে না এটার সমাধানটা বললে খুশি হতাম??,1w,2 Replies
1028,"Baaler phone.amon phoe  kkhono dehinaiupdate acche,dc then hand mara shuru gorom hoy otirikto.charge tikena",1w,
1029,মেয়েটা ভাল আছে। মিডল ফিঙ্গারের নখ কাটেনাই,1w,
1030,একটা সাজেশান,1w,3 Replies
1031,Note 10 6/128 unofficial Price koto,5d,
1032,Vai Male model diye pic tulen.tarpor kinbo.,1w,2 Replies
1033,Build quality onek kharap hat theke pore display nosto hoia gese,1w,
1034,dame beshi mane kharap,1w,
1035,Note 10 ..6/64 koto niben... unofficial,1w,1 Reply
1036,Ei phone call settings e official phoner moto na?,1w,
1037,"Unofficially note10 4/128 price,",1w,
1038,,1w,2 Replies
1039,,1w,1 Reply
1040,,1w,2 Replies
1041,,1w,1 Reply
1042,,1w,1 Reply
1043,,1w,2 Replies
1044,,1w,1 Reply
1045,poco X3  pro কি official??,1w,1 Reply
1046,Note 10 ki official??,1w,2 Replies
1047,Mi11lite r 6/128 r price koto unofficial,1w,1 Reply
1048,IQOO 7 series kobe nia asben,1w,1 Reply
1049,X3 pro india version 6/128 er price,1w,2 Replies
1050,poco m3 pro 5g ???,1w,2 Replies
