,model,comment
520,8 Pro,Oneplus 8 pro price
521,Mi 10 Ultra,Mi 10 ultra hbe bhaiya?
522,OnePlus 7,Oneplus 7 128gb?
523,8 Pro,viya oneplus 8 pro ki ace
530,iPhone 7,IPhone 7 silver edition ta aktu dakayen plz
532,POCO M2,à¦­à¦¾à¦‡à¦¯à¦¼à¦¾ k20 pro 6/128 à¦à¦° à¦¦à¦¾à¦® à¦Ÿà¦¾ à¦•à¦¿ à¦à¦•à¦Ÿà§ à¦•à¦®à¦¾à¦¨ à¦¯à¦¾à¦¯à¦¼ ? Exchange er à¦•à§à¦·à§‡à¦¤à§à¦°à§‡ exchange à¦•à¦°à¦¬à§‹ poco m2 officeal dia
534,Mi 10 Ultra,Mi 10 ultra ta hobe vaiya??
539,iPhone 7,Iphone 7
540,9 Pro,Note 9 pro manage kore deya jabe
547,iPhone 7,IPhone 7+ prices 128 gb piz
548,OnePlus 7,Oneplus 7 ache?
551,iPhone 7,IPhone 7+ prices piz
554,iPhone 6s,Iphone 6s plsu 64 gb price pls
556,Mi Note,Redmi note 10 pro ase vai?
558,iPhone 8,iphone 8
561,9 Pro,Note 9 pro
567,iPhone 7,IPhone 7+ prices
570,8 Pro,realme 8 / 8 pro available
583,iPhone 7,iPhone 7+ prices
584,Galaxy S2,Vaiya samsung galaxy s20 ultra
585,iPhone 12,Vai iPhone 12 128 gb price ta jodi bolten
587,POCO X3 Pro,Vai poco x3 pro 8/128 koto
588,iPhone 7,Iphone 7+++
589,OnePlus 7T,Oneplus 7t
590,iPhone 7,iPhone 7+
592,iPhone 11,Iphone 11 fully feesh?
595,iPhone 6s,Vaiya iphone 6s plus ar price ta janlam nah
596,Narzo,realme narzo 20 pro nichilam.. Livewire theke.. Onk valo phn paichi..
598,OnePlus 9,à¦­à¦¾à¦‡ oneplus 9 R à¦†à¦›à§‡
599,OnePlus 7T,OnePlus 7t price koto
600,10 Plus,kico din por samsung note 10 plus nebo apnader teke
601,iPhone 11 Pro,Ajke ki iPhone 11 pro ache used
603,OnePlus 7T,OnePlus 7t 6/128 unofficial price koto
604,OnePlus 7T,OnePlus 7t er price koto
605,Mi 10 Ultra,Mi 10 ultra ta bolben bhaiya.
606,Mi Note,Redmi note 10 aca
607,2 Pro,i phone 12 pro max ki color ache vai
608,POCO X3 Pro,Vhiya poco x3 pro ta price koto
609,iPhone 12 Max,iphone 12 max pro ase ?
610,iPhone 6s,Iphone 6s plus 64 gb price pls
611,Mi Note 10 Lite,Vai apana der kace ki mi note 10 lite asa..?
612,3 Pro,Vhaiya poxo x3 pro price ta koto
613,POCO F3,Poco F3 ache?
614,Mi Note,Xiaomi redmi note 10 (6/128)gb price koto tk
616,Key2,Blackberry key2
617,OnePlus 8,OnePlus 8 6/128
618,iPhone 7,Iphone 7plus  price koto
619,iPhone 6s,Vaiya iphone 6s plus tar price ta janlam nah akhono
620,OnePlus 6,à¦­à¦¾à¦‡ oneplus 6 à¦•à¦¿à¦¨à¦¤à§‡ à¦šà¦¾à¦‡à¥¤
621,8 Pro,One plus 8 pro
622,One X+,I phone x?
624,iPhone 8,Iphone 8+ price koto bhai?
625,iPhone 11,Vai iphone 11 new hobe?
627,Galaxy Note,Galaxy note 10+
628,PRO 5,Mate 30 pro 5g
629,Mi Note,Bhai redmi note 10 4/128 International varient price koto????
632,POCO M2,Poco m2 pro
635,POCO X3,Poco x3 nfc available?
636,7 Pro,oneplus 7 pro ki available?
637,OnePlus 7,Oneplus 7pro 6..128. Used price ta janaben plz..
638,POCO X3 Pro,Poco x3 pro ace
639,3 Pro,Oppo Reno3 pro er price koto
640,Oppo F1,Assalamu alaikum vaia amr kache oppo f15 ase exchange korte cacchi samsung a71sathe kichu tk add korbo....
641,One X+,I phone X price koto
642,POCO X3 Pro,Poco x3 pro r dam koto
643,Mi Note,Redmi note 9  6/128 price?
644,One X+,I phone x price koto
645,3 Pro,oppo reno 3 pro à¦•à¦¤à§‹ à¦¦à¦¾à¦® à¦à¦–à¦¨
646,Narzo,narzo 20 ta la
647,iPhone 12 Max,Iphone 12 max pro koto?
648,POCO X3,Poco x3 ta nebo
649,Realme 5i,Realme 5i lagbe...
650,POCO X3,à¦¬à¦¾à¦Ÿà¦ªà¦¾à¦° à¦¹à¦² Poco X3 à¦®à¦¾à¦°à§à¦•à§‡à¦Ÿ à¦ªà§à¦°à¦¾à¦‡à¦¸ à§§à§®à§¦à§¦à§¦ à¦¹à¦¾à¦œà¦¾à¦° à¦Ÿà¦¾à¦•à¦¾
651,iPhone X,iphone x price?
652,Mi Note,Vhai a readmi note 8  koto
653,POCO X3,Hirr...poco x3 india te 15000 e pawa jai
654,Redmi 9 Power,Redmi 9 power pp plz
655,Vivo V1,Vai redmi not8 ar vivo v15 pro. Modde konta vesi valo hove plz replei
656,POCO X3,Haha disi poco x3 er dam shune
657,5 Pro,Vai.. vivo v 15 pro... Praic
658,iPhone XR,iphone xr brand new price please
659,POCO X3,Poco x3 dam 16500
660,Narzo,Narzo 20 lagbe ace ki
661,Mi 2,Realmi 21koto vai
662,ROG Phone 5,Rog phone 5 12/256
663,iPhone 12 Pro,IPhone 12 Pro 128 price?
664,2 Pro,"For 12 pro max AMEX gold card,  EMI conditions please?"
665,iPhone 12,IPHONE 12 PRICE?
666,2 Pro,Iphn 12 pro max 24k Gold buy korar process ta ki bhai ??
667,iPhone SE 2,iPhone SE 2020 available?
668,iPhone 12,Iphone 12 ultra  price koto bro?
669,Mi Note,Redmi note 10 pro max official available?
670,iPhone 12,I have need iPhone 12pro max (golden)
671,10 Pro,note 10 pro 108MP available??
672,10 Pro,10 pro available?
673,Mi 11,Mi 11 ta ki apnader kache available hobe r holeo price ta koto porbe plz kindly janaben...
674,POCO F3,Poco f3 ki available?
675,OnePlus 8T,Oneplus 8T à¦ªà§à¦°à¦¾à¦‡à¦¸ à¦•à¦¤??
676,Nord,What's the difference between Nord N10 official and non official? The price is way different! Can anyone answer?
677,POCO F3,When poco f3 will be available??
678,Galaxy Note 2,Galaxy note 20 ultra ki chinese naki global?
679,9 Pro,One plus 9 pro 8/256  official available?
680,10 Pro,Is note 10 pro available?If it is then buy it today
681,8 Pro,One plus 8 pro available?
682,Mi Note,Xiaomi Redmi Note 10 (6+128) official pawya jabe?
683,Moto G20,Is Moto g20 available? And price?
684,OnePlus 8,Oneplus 8 dual sim or single?
685,OnePlus 7,Oneplus 7 or 7t available?
686,Black Shark,Mi black shark 3 international?
687,10 Plus,Note 10 plus price?
688,POCO M3,poco M3 power black available?
689,Nord,OnePlus nord 8/128 available?
690,10 Pro,Note 10 pro 6/64 108mp unofficial price?
691,Mi Note,india r boader khulle redmi note 10 pro max unofficially er dam kormar kono   somvobona ase ?
692,Nord,nord n 10 is avilable?
693,9 Pro,9 pro 8/256 color?
694,Redmi 9 Power,Xaiomi redmi 9 power
695,Mi Note,redmi note 8 moonlight blue available?
696,Nord,One plus nord n10 available?
697,Nord,one+ nord official?
698,Mi Note,"Redmi note 10 [4/64](Indian global) à¦•à§Ÿà§‡à¦• à¦¦à¦¿à¦¨ à¦†à¦—à§‡à¦“ à¦¦à§‡à¦–à¦²à¦¾à¦® 16,500 à¦†à¦° à¦à¦–à¦¨ à¦¦à§‡à¦–à¦¿ 17,000 à¦à¦Ÿà¦¾ à¦ˆà¦¦ à¦…à¦«à¦¾à¦° à¦•à¦¿à¦­à¦¾à¦¬à§‡ à¦¹à§Ÿ?"
699,POCO F3,Poco F3 8-128/ 8-256 kobe available hobe?
700,iPhone 12,Iphone 12 128 er daam 30k hoar asha e boshe achi...
701,POCO M2,POCO M2 made in India/global naki chinese ta?
702,POCO M2,Poco m2 pro unofficial ta ase naki er thakle price koto
703,OnePlus 8,Vai oneplus 8 international global naki indian
704,Galaxy F62,"Galaxy F62 dorkar, kobe available hobe? R Iqoo 7 niye asen. F3 er theke better phone, ami kinte cai."
705,Redmi 9,Redmi 9 unofficial ta hobe na ?
706,Mi 11,Mi 11 lite EMI nete caile ki nite parbo...?
707,Mi Note,Redmi Note 9 pro available? And price?
708,Galaxy A5,Samsung Galaxy A52 available???
709,Galaxy A32,Samsung Galaxy A32 ki ki color available?
710,Nord,Nord 8/128 price koto
711,10 Plus,Note 10 plus ta koto?
712,Mi Note,"redmi note 10 pro 6/128, Official available & Prize koto?"
713,POCO F3,poco f3 8/256 availabe ase ?
714,Mi Note,Xiaomi Redmi Note 10 Pro Max ??
715,Mi 11,Mi 11 lite 4g naki 5g variant??
716,POCO F3,Poco F3 ase?
717,POCO M3,Poco M3 6/128 hobe?
718,Mi 11,Mi 11 lite eta ki 4g na 5g??
719,10 Pro,note 10 pro (unf) avaiable??
720,POCO M2,Poco m2 pro unofficial available ase?
721,Aria,Samsung A52 duel sim variant??
722,Narzo,Narzo 20 available?
723,Mi Note,Redmi note 8 à¦†à¦¾à¦›à§‡
724,POCO X3,Poco x3 8-128 ache?
725,Mi 1,Mi 10 pro koto Kore?
726,Mi Note,Xiaomi Redmi Note 10 (6+128) official pawa jabe?
727,Pixel 4a,is pixel 4a available?? price?? might buy it today...
728,Mi Note,Redmi Note 10 Pro (Indian Variant) 8GB/128GB available??
729,Mi 11,Mi 11 lite 8/128 yellow colour ki hobea?
730,POCO X3 Pro,Poco x3 pro 6/128 available ?
731,Mi 11,Need mi 11 lite 5g
732,Note 9,Note 9 koto
733,Mi Note,Redmi note 9 pro 6gb sell korte chai official warranty gadget and gear theke nea
734,iPhone X,iPhone X price
735,PRO 5,Vaiya mate 30 pro 5g ta lagbe amar.
736,PRO 5,Vaiya mate 30 pro 5g  ta ku ache..?
737,PRO 5,Vaiya mate 30 pro 5g phone ta amar lagbei.
738,OnePlus 7,Do you have oneplus 7pro 6/128?
739,OnePlus 6,OnePlus 6 lagbe jodi 6 na thake tahole 7 lagbe.?
740,Mate 30,"Vaiya, mate 30 pro er price koto?"
741,Mate 30,Mate 30 pro offer price koto vaiya?
742,iPhone XS,Iphone xs used price koto??
743,iPhone XS,Iphone xs used price koto vaiya?
744,Vivo V20,Vivo v20pro Akdhum fresh .Box Nai
745,Mi Note,Redmi note 9pro price
746,Mi 5,Mi 5s plus shameem
747,Galaxy A5,Galaxy A51
748,POCO X3,Poco X3 sell
749,Pixel 4a (5G),Google pixel 4a 5g last à¦•à¦¤ à¦ªà¦°à§à¦¬à§‡?
750,Reno,Oppo reno 5 price plz !
751,iPhone 11,Vai Need iPhone 11promax?
752,POCO F3,Poco F3 available ekhon?
753,Reno,OPPO RENO NEW Price koto?
754,7 Pro,Onplus 7 pro ase vaiya
755,Reno,Vai Oppo Reno 5 new official price koto porbe?
756,iPhone 7,IPhone 7 silver edition ta hbe??
758,OnePlus 6T,Vai oneplus 6t used ache
759,Galaxy Note,Samsung Galaxy Note 10+ 12gb 256 GB koto tk
760,7 Pro,Riealmi 7 pro ta koi ami nibo
761,3 Pro,Poxo x3 pro pice
762,Realme 6,Vai realme 6 used price koto??
763,POCO F3,Vai poco f3 er prize koto ekn
764,Note 9,Samsung note 9 ase?
765,3 Pro,Poxo x3 pro price koto Vhiya
766,Realme 7i,Realme 7i
767,5 Pro,Vai v 15 pro ta ki ache price ta bolben
768,Note 9,Samsung note 9 stock a ase?
769,iPhone 11,Need Iphone 11pro max price?
770,X2 Pro,Realme X2 pro price??
771,Mi Note,Redmi note 10 price
772,OnePlus 7T,Oneplus 7t ki ache?
773,Oppo F1,OPPO f17 asa ki?
774,OnePlus 7T,Oneplus 7t available bro?
775,iPhone 11,vaiya iphone 11 slim box koto ?
776,9 Pro,Oppo  f19 pro When will the phone be?
778,iPhone 7,vaiya iphone 7 koto ??
782,Realme XT,Bai realme xt amar lagbo ace
783,2 Pro,12 pro max 512 gb dual sim price ?
784,9 Pro,F19 Pro
785,POCO X3,Poco x3 nfc
786,Reno,Oppo reno 2z price
787,Vivo V20,Vai Ami Vivo V20 pro set ta cell kurty Chai .akhun fresh  ktu diven price
788,POCO F3,poco f3 price koto??????
789,Vivo V1,Vai vivo v15pro price plz
790,Reno,Oppo reno 2z full box price koto?
791,7 Pro,F 17 pro koto
793,iPhone XR,iPhone xr ace ki
794,Reno,kmn acen vai oppo reno 5 diye dekci
795,OnePlus 7T,Oneplus 7t ase
796,iPhone XR,Iphone xr er price koto
797,Realme 7i,Realme 7i ace vaiya
798,Reno,kmn acem vai reno 5 diye dekci
800,Realme X2,Realme x2 available?
802,iPhone 12,Vaiya Iphone 12 series hobe?
